MODULO;CODIGOPARAMETRO;DESCRIPCIONPARAMETRO;FUENTE;VALORPORDEFECTO;VALORPORCENTRO;ORGANIZACION;CENTRO;SERVICIO
Pacientes;PA_COMCLI0010;Identificador externo por defecto de pacientes;SFERE;NNESP;NHC03;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Pacientes;PA_COMCLI0003;Provincia por defecto para la creación de pacientes;SFERE;;41;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Pacientes;PA_COMCLI0011;Parámetro para la utilización de ámbitos para las integraciones de pacientes (por centro);SFERE;1;;;;
Pacientes;PA_COMCLI0004;Ciudad por defecto para la creación de pacientes;SFERE;41-0091;;;;
Pacientes;PA_COMCLI0001;País por defecto para la creación de pacientes;SFERE;ESP;;;;
Pacientes;PA_COMCLI0002;Región por defecto para la creación de pacientes;SFERE;4;;;;
Pacientes;PA_COMCLI0007;Formulario asociado a ficha del paciente;SFERE;;;;;
Pacientes;PA_COMCLI0008;Centro que gestiona la historia familiar;SFERE;0;;;;
Pacientes;PA_COMCLI0009;Formulario de historia familiar;SFERE;;;;;
Pacientes;PA_COMCLI0012;Parámetro que permite cargar la dirección del centro como dirección principal del usuario;SFERE;0;;;;
Pacientes;PA_COMENC0003;Se registra consumo en el cierre de un procedimiento;SFERE;0;;;;
Pacientes;PA_COMENC0004;Se registra consumo en el cierre de un diagnósitco;SFERE;1;;;;
Pacientes;PA_COMCLI0013;Visualizar características del paciente al crear subepisodio;SFERE;1;;;;
Pacientes;PA_COMAPP0022;Códigos de los tipos de documentos externos a mostrar en la pantalla de búsqueda de pacientes. Puede ser un único valor, o bien dos valores separados por una barra vertical. Ejemplo de uso: NNESP|SS;SFERE;SS|NNESP;;;;
Pacientes;PA_PASDIS0008;Habilita o no el registro de información relativa a la incapacidad legal del paciente en la ficha de paciente.;SFERE;false;;;;
Pacientes;PA_COMCLI0014;Edad mínima para considerar obligatorio un identificador externo en la ficha de paciente;SFERE;;;;;
Pacientes;PA_COMCLI0015;Edad hasta la que se considera obligatorio un representante legal para el paciente;SFERE;;;;;
Pacientes;PA_COMCLI0016;Identificador de usuario a mostrar en la barra de usuario activo. Es una lista de valores separados por | y selecciona el primero que tenga valor;SFERE;;;;;
Pacientes;PA_COMCLI0018;Uso de nombre social;SFERE;0;;;;
Pacientes;PA_COMCLI0019;Entidad por defecto para pacientes creados desde FONASA;SFERE;PP;;;;
Pacientes;PA_COMCLI0021;Gestiona que se muestre la alerta de pacientes con deuda pendiente en la barra de usuario activo;SFERE;0;;;;
Pacientes;PA_COMCLI0022;Obligatoriedad del documento identificativo en personas de contacto de un paciente.;SFERE;false;;;;
Pacientes;PA_PASINV1124;Indica si esta activado el circuito de múltiples empresas;SFERE;1;;;;
Gestión de agendas y citas;PA_PASSCH0016;Rango de días a partir de la fecha actual para generar el fichero de notificaciones;SFERE;;;;;
Gestión de agendas y citas;PA_PASSCH0017;Ruta para la generación de ficheros de notificaciones;SFERE;;;;;
Gestión de agendas y citas;PA_PASSCH0002;Margen de Días para la búsqueda de Episodios de Hosp y Urg;SFERE;30;;;;
Gestión de agendas y citas;PA_PASSCH0003;Rango de días a partir de la fecha actual para generar el fichero de notificaciones por defecto;SFERE;15;;;;
Gestión de agendas y citas;PA_PASSCH0004;Ruta para la generación de ficheros de notificaciones por defecto;SFERE;c:\;;;;
